Rozdělení míst pro prodej zboží       a poskyto-vání služeb§ 1,Městská částhlavního města Prahy,Adresa místa§ 1 odst. 1,Počet prodej-ních míst a velikost prostoru (záboru) v m2(min. 2 m2)§ 3odst. 1,Prodejní doba§ 4,Doba provozu§ 4,Druh prodávaného zboží nebo poskytované služby§ 2
TRHY,Praha 6,"K Brusce u č. 5/208,parc. č. 766/5, 766/4 a 652/1, k. ú. Hradčany",1540 m2,po-ne7.00- 22.00,příležitostně,farmářské trhy
TRHY,Praha 6,Markétská před Břevnovským klášterem,1003 000 m2,,příležitostně,farmářské trhy
TRHY,Praha 6,"Míčova  x Na Větrníku, roh ulic, parc.č. 3610/5, k.ú. Břevnov",50850 m2,čt,příležitostně1.3.-31.12.,farmářské trhy
TRHY,Praha 6,"náměstí Kafkova - Wuchterlova, ul. před budovou Církve československé husitské",30500 m2,po – ne10.00-22.00,příležitostně28.11.-3.1.14 dnů před Velikonoce-mi a 6 dnů po Velikono- cích,vánoční trhyvelikonoční trhy
TRHY,Praha 6,"Na Petřinách,před SM BILLA",315 m2,,příležitostně28. 10. -31. 12.,dušičkové trhyvánoční trhy
TRHY,Praha 6,parkoviště před hlavním vchodem do koupaliště Džbán,501000 m2,po – ne7.00-22.00,příležitostně,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva a keramiky, občerstvení (stravovací služby),  nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 6,"prostor mezi železnicí a ul. Dejvická a Václavkova a ul. Pod kaštany a nádražím Praha  Dejvice,  parc. č. 4000, 4292/5, 4292/16, 4292/29,  k.ú. Dejvice",25   1600 m2,,,vánoční trhyvelikonoční trhyfarmářské trhy
TRHY,Praha 6,"prostor za KC Kaštan, parc. č.  26, 31/2, 147/1, k.ú. Břevnov",201200 m2,,,vánoční trhyvelikonoční trhyfarmářské trhy
TRHY,Praha 6,"Technická mezi ulicemi Šolínova a Studentská,  parc. č. 4289, k.ú. Dejvice",100   1000 m2,so8.00-18.00,celoročně,vánoční trhyvelikonoční trhyfarmářské trhy
TRHY,Praha 6,"Vítězné nám. – prostor je vymezen kruhovým objezdem na Vítězném nám. a komunikacemi Evropská, Šolínova a Jugoslávských partyzánů",1001 000 m2,so8.00-14.00,příležitostně,"farmářské trhyobčerstvení (stravovací služby),nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.,   trhy se sortimentem keramika, sklo, košíkářské zboží, proutěné zboží, tašky, šátky, košíky se zeleninou a ovocem, velikonoční, vánoční a ostatní dekorace (charitativní stánky)- v části plochy"
TRHY,Praha 6,"Vlastina u č. 34/888, před poštou",315 m2,,příležitostně1.12.- 31.12.,vánoční trhy
TRHY,Praha 7,"Kostelní u č. 44/1300 muzejní dvůr,             parc. č. 2120/1, k.ú. Holešovice,  Národní zemědělské muzeum",20200 m2,,příležitostně,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 7,"Letenská pláň - písková plocha na Letné u parkoviště vedle budovy MVČR, východní kvadrant",40500 m2,so8.00-20.00,celoročně,"maso, uzenářské výrobky, chlazené ryby, ovoce, zelenina, sýry, mléčné výrobky, pekařské           a cukrářské výrobky, med, květiny a doplňkový sortiment, který se ke květinám váže, vejce, pivo, víno, káva  velikonoční trhyvánoční trhyfarmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 7,"Ortenovo nám., centrální část,  pěší zóna v parku, východní cíp",20300 m2,so-ne8.00-20.00,celoročně,"velikonoční trhyvánoční trhyfarmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 7,Řezáčovo náměstí,20300 m2,so-ne8.00-18.00,celoročně,"maso, uzenářské výrobky, chlazené ryby, ovoce, zelenina, sýry, mléčné výrobky, pekařské           a cukrářské výrobky, med, květiny a doplňkový sortiment, který se ke květinám váže, vejce, pivo, víno, káva  bleší trhyvelikonoční trhyvánoční trhyfarmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 7,Strossmayerovo nám.,1050 m2,,příležitostně1 měsíc před Velikonoce-mi1 měsíc před Vánocemi,"velikonoční trhyvánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 7,Veletržní u č.  20/1502,20800 m2,,celoročněpo-ne7.30 -19.00příležitostně,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva a keramikyvánoční trhy"
TRHY,Praha 7,"Vltavská, st. metra C, prostranství naproti vstupu do metra přes tramvajovou trať, parc. č. 1240/8, k.ú. Holešovice",20350 m2,po-so8.00-18.00,celoročně,"maso, uzenářské výrobky, chlazené ryby, ovoce, zelenina, sýry, mléčné výrobky, pekařské           a cukrářské výrobky, med, květiny a doplňkový sortiment, který se ke květinám váže, vejce, pivo, víno, káva  velikonoční trhyvánoční trhyfarmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 8,"Bohnická, parc. č. 850/1, k. ú. Bohnice",2 000 m2,,celoročně,farmářské trhy
TRHY,Praha 8,"Kollárova, na chodníku podél parku na Karlínském nám., Peckova v úseku Křižíkova – Karlínské nám. směr Pernerova, na chodníku podél parku na Karlínském nám., ul. Karlínské nám. za kostelem sv. Cyrila a Metoděje,parc. č.  822,   k. ú. Karlín",1 500 m2,,celoročně,farmářské trhy
TRHY,Praha 8,"Klapkova u č. 28/1035, k.ú. Kobylisy",181438 m2,8.00-18.00,celoročně,farmářské trhy
TRHY,Praha 8,"Ládví, Burešova,  parc. č. 2364/1,         k. ú. Kobylisy",31186 m2  20150 m2,8.00-19.00,celoročněpříležitostně1.12.- 23.12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva, keramiky vánoční trhy občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 8,"Lodžská, prostranství        na zpevněné ploše před KD Krakov, část                  parc. č. 1307/1, k. ú. Troja",3 900 m2,,celoročně,farmářské trhy
TRHY,Praha 8,"Löwitův mlýn, u Českých loděnic  u č. 4 a u č. 6",2387 m2,po-ne8.00-22.00,celoročněpříležitostně1 měsíc před Velikonoce-mi a Vánocemi,"farmářské trhytrhy – umělecká řemesla, občerstvení (stravovací služby) nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.velikonoční trhyvánoční trhy"
TRHY,Praha 8,"Lyčkovo nám., park, parc. č. 816, 609, k.ú. Karlín",301000 m2,po-ne8.00-22.00,celoročněpříležitostně1 měsíc před Velikonoce-mi a Vánocemi,"farmářské trhytrhy – umělecká řemesla, občerstvení (stravovací služby) nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.trhy zaměřené na ekologickou produkci, výrobky sociálních podniků a neziskových organizací, lokální ekonomiky, fair trade, uměleckých řemeselvelikonoční trhyvánoční trhy"
TRHY,Praha 8,"Na zámkách, u NS Draháň, parkoviště a příjezdová cesta k NS, část             parc. č. 26/2, k. ú. Čimice",2 700 m2,,celoročně,farmářské trhy
TRHY,Praha 8,"U Meteoru, za úřadem BD, vedle hřiště, část            parc. č. 30, k. ú. Libeň",1 000 m2,po-ne8.00-22.00,celoročněpříležitostně1 měsíc před Velikonoce-mi a Vánocemi,"farmářské trhytrhy – umělecká řemesla, občerstvení (stravovací služby) nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.velikonoční trhyvánoční trhy"
TRHY,Praha 8,"Zenklova u č. 35/1, nádvoří Libeňského zámku",1 230 m2,po-ne8.00-22.00,celoročněpříležitostně1 měsíc před Velikonoce-mi a Vánocemi,"farmářské trhytrhy – umělecká řemesla, občerstvení (stravovací služby) nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.velikonoční trhyvánoční trhy"
TRHY,Praha 8,"Zenklova, Na Žertvách, parc. č. 2926/2, k. ú. Libeň",25100 m2,8.00-19.00,příležitostně20 dnů před velikonoč-ním pondělím24.11-24.12.,velikonoční trhyvánoční trhy
TRHY,Praha 9,"Kolbenova ul., T - Mobile Park",12 000 m2,,celoročně,bleší trhy
TRHY,Praha 9,"Lovosická – parkoviště před poliklinikou Prosek    a prostor před vstupem     do polikliniky Prosek, parc. č. 515/25, k.ú. Střížkov",8 000 m2,po-so7.00-18.00,celoročně,farmářské trhy
TRHY,Praha 9,"U Elektry, areál „ŠTÁDLER“, parc.č. 2116/3, 2116/4, 2116/5, 2116/6, 2116/7, 2116/32,2116/3, 2116/2, vše k.ú. Vysočany",25012 000 m2,"so-ne, svátky6.00-16.00",celoročně,"použité zboží, nové zboží, služby, občerstvení (stravovací služby), nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 10,Kubánské nám.,35  2 000 m2,,"příležitostněút, čt  9.00–18.00so 9.00–14.00","farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva, keramiky,občerstvení (stravovací služby), nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 10,"Krymská u č. 39/56 x Kodaňská, parc. č. 373,k. ú. Vršovice",10     250 m2,,příležitostnědle potřeb komunity 8.00 – 22.00,"farmářské trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.  trhy se sortimentem drobného použitého zboží místních obyvatel, designového zboží vlastní výroby (keramika, obrázky atd.) v části plochy"
TRHY,Praha 10,nám. Svatopluka Čecha,15     150 m2,,příležitostně1.9.-31.10.8.00 – 20.00,"Staročeské trhy – lidová umělecká řemesla a prodej jejich produktůobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 10,"Vršovická 68b/1527, u hypermarketu TESCO Eden",16100 m2,,příležitostně1 měsíc před Velikonoce-mi 24.11.-24.12.8.00-20.00,velikonoční trhyvánoční trhy
TRHY,Praha 11,"Arkalycká, u multikina Galaxie, u objektu č. 1/833, parc.č. 1209/10, k. ú. Háje",15180 m2,,příležitostně14 dní před Velikonoce-mi23. 10.-2.11.23. 11. -24. 12.,velikonoční trhydušičkové trhyvánoční trhy
TRHY,Praha 11,"Chodov, st.  metra C u OC Chodov, Roztylská u č.  19/2321,  k. ú. Chodov",20200 m2,,příležitostně14 dní před Velikonoce-mi23.10.-2.11.23. 11. -24. 12.příležitostně,"velikonoční trhyobčerstvení (stravovací služby)dušičkové trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)trhy se sortimentem ovoce, zelenina, květiny a doplňkový sortiment, který se ke květinám váže, drobné dárkové předměty, občerstvení (stravovací služby) – v části plochy"
TRHY,Praha 11,"Ledvinova, u Chodovské vodní tvrze, parc. č. 229/3, k. ú. Chodov",10100 m2,,příležitostně,farmářské trhyobčerstvení (stravovací služby)řemeslné trhyobčerstvení (stravovací služby)
TRHY,Praha 11,"Ledvinova - Türkova, park u Chodovské tvrze, parc. č. 229/5 a 229/12, k. ú. Chodov",20200 m2,,příležitostně,farmářské trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)
TRHY,Praha 11,"Opatov, centrální park, pěší trasa od schodů       k ul. Křejpského, parc. č. 2031/22, k. ú. Chodov",15140 m2,,příležitostně,řemeslné trhyobčerstvení (stravovací služby)
TRHY,Praha 11,"Opatov, st. metra C, východ z metra směr centrální park, parc. č. 2031/265, 2031/267,  2031/4, 2031/2, 2031/14    a 2031/22, vše k. ú. Chodov",40400 m2,,příležitostně,řemeslné trhyobčerstvení (stravovací služby)
TRHY,Praha 11,"Opatov, st. metra C, východ z metra směr starý Chodov, parc.č. 2031/269, k. ú. Chodov",10100 m2,"po,stř",celoročněpříležitostně14 dní před Velikonoce-mi23.10.-2.11.23. 11. -24. 12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby)trhy se sortimentem přírodní kosmetika, bižuterie, keramika, drobné dárkové předměty, textilní galanterie (v části plochy)občerstvení (stravovací služby)řemeslné trhyobčerstvení (stravovací služby)velikonoční trhyobčerstvení (stravovací služby)dušičkové trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)"
TRHY,Praha 11,"Opatovská, pěší zóna Háje,  č.  25/874, k. ú. Háje",15140 m2,,příležitostně 23.10.- 2.11.23. 11. -24. 12.,řemeslné trhyobčerstvení (stravovací služby)dušičkové trhyvánoční trhyobčerstvení (stravovací služby)
TRHY,Praha 11,"U modré školy, pěší trasa  a vstupní část                    do centrálního parku, poblíž Komunitního centra, parc. č. 2503/2, 2503/5, 2504/5, 2885/1, 2885/3, 2885/4, 2886/1, 2886/2, 2887/1, 2887/2 a 2887/3, k. ú. Chodov",40400 m2,"po-čt8.00-18.00út, čt",celoročněpříležitostněpříležitostně14 dní před Velikonoce-mi23.10.-2.11.23. 11. -24. 12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby)trhy se sortimentem přírodní kosmetika, bižuterie, keramika, drobné dárkové předměty, textilní galanterie (v části plochy)občerstvení (stravovací služby)trhy se sortimentem drobného použitého zboží místních obyvatel (dětské oblečení, hračky, knihy, drobné sběratelské předměty apod.) - v části plochyvelikonoční trhyobčerstvení (stravovací služby)dušičkové trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)"
TRHY,Praha 12,Durychova u NS Jasná,220 m2,po-ne8.00-18.00,příležitostně20 dnů před Velikonoce-mi7.12.-24.12.,velikonoční trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)
TRHY,Praha 12,"Generála Šišky, parkoviště u OD PRIOR",220 m2,po-ne8.00-18.00,příležitostně20 dnů před Velikonoce-mi7.12.-24.12.,velikonoční trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)
TRHY,Praha 12,Papírníkova u NS Obzor,220 m2,po-ne8.00-18.00,příležitostně20 dnů před Velikonoce-mi7.12.-24.12.,velikonoční trhyobčerstvení (stravovací služby)vánoční trhyobčerstvení (stravovací služby)
TRHY,Praha 12,Sofijské náměstí  u č.p. 3400,25200 m2,po-ne8.00-18.00,celoročněpříležitostně 20 dnů před Velikonoce-mi7.12.-24.12.,"farmářské trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.velikonoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.vánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 13,"Sluneční náměstí, před radnicí Městské části Praha 13, prostor zpevněné plochy pod schodištěm        k radnici",30300 m2,po7.00-20.00,příležitostně,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 13,"Trávníčkova, zpevněná plocha nad OC, parc. č. 2160/128, k.ú. Stodůlky",30300 m2,čt7.00-20.00,příležitostně,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb. (v části plochy tržiště)"
TRHY,Praha 14,"Bryksova, parc. č. 232/2, k. ú. Černý Most, pěší zóna před stanicí metra  Černý Most",20     500 m2,po-ne8.00-19.00,příležitostně1.2. - 31.12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 14,"Cíglerova, parc. č. 72/2, k.ú.  Černý Most, plocha při výstupu            ze stanice metra Rajská zahrada",30500 m2,po-ne8.00-19.00,příležitostně1.2. - 31.12.15.12.-23.12.,"velikonoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.  Svatováclavské trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.  Svatomartinské trhy občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.  farmářské trhy, produkty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.   vánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 14,"Poděbradská,             parc. č. 782/21, k.ú. Hloubětín,  pěší zóna u stanice metra  Hloubětín u Penny marketu",1050 m2,po-ne8.00-19.00,příležitostně1.2. - 31.12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva občerstvení (stravovací služby), nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 14,"Prelátská, parc. č. 2723/1, k.ú. Kyje",25250 m2,po-ne8.00-19.00,příležitostně1.5. - 31.5.,"jarmareční trhy -  cukrovinky pečivo, výrobky uměleckých řemesel, výtvarné práce, výrobky ze dřeva, proutí, slámy a kůže, aroma lampy, svíčky, koření, upomínkové předměty,občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 15,"Kubatova u č. 1/32, Toulcův dvůr",302 320 m2,,příležitostně,farmářské trhy
TRHY,Praha 16(Radotín),"nám. Osvoboditelů u č.p. 1371 a 1372, před prodejnou potravin a drogerie",25150 m2,8.00-18.00,celoročně,farmářské trhy
TRHY,Praha 16(Radotín),"nám. Sv. Petra a Pavla, prostor mezi kostelem a základní školou  a navazující komunikace Václava Balého, Loučanská  a Nad Berounkou (v celé jejich délce)",150    1 300 m2,8.00-22.00,příležitostně,"farmářské trhyvelikonoční trhyvánoční trhybleší trhytrhy se sortimentem výrobky uměleckých řemesel (v části plochy)občerstvení (stravovací služby),  nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 16(Radotín),"Vrážská u č. 2/1165, před Hotelovým domem",1590 m2,po-ne8.00-18.00,příležitostně,velikonoční trhyvánoční trhy
TRHY,Praha 17 (Řepy),"pod přemostěním           mezi nákupním centrem Shopping point Řepy           a prodejnou BILLA,   parc. č. 1142/854, k.ú. Řepy",200 2 100 m2,po-ne8.00-18.00,příležitostně15 dnů před Velikonoce-mi1.12.-24.12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřevavelikonoční trhyvánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 17 (Řepy),"parkovací pás při ul. Bendova a parkoviště pro polikliniku v ul. Bendova, parc. č. 1234/210, parc.č. 1234/211, k.ú. Řepy",1 304 m2,po-ne8.00-18.00,příležitostně15 dnů před Velikonoce-mi1.12.- 24.12.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřevavelikonoční trhyvánoční trhyobčerstvení (stravovací služby),  nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 17 (Řepy),"Socháňova u č. 27/1220, mezi KD Průhon a restaurací U Průhonu",15 100 m2,po-ne8.00-18.00,příležitostně15 dnů před Velikonoce-mi1.12.- 24.12.,"velikonoční trhyvánoční trhyobčerstvení (stravovací služby),nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha 18(Letňany),"pozemek parc. č. 10/45, k. ú. Letňany, parkoviště a část komunikace Tvrdého směrem ke komunikaci Stará náves",850 m2,so6.00-14.00,příležitostně1.4. - 31.10.,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva"
TRHY,Praha 18(Letňany),"Rýmařovská (před Šumperkou), parc. č. 652/48, k. ú. Letňany",15300 m2,7.00-22.00,celoročně,farmářské trhy občerstvení (stravovací služby)
TRHY,Praha 18(Letňany),"Stará Náves, parc. č. 10/45, k. ú. Letňany",20500 m2,7.00-22.00,celoročně,farmářské  trhyobčerstvení (stravovací služby)
TRHY,Praha 18(Letňany),"Veselská u č.p. 663, před vchodem do OD Tesco Letňany",20 660 m2,po-ne9.00-22.00,"příležitostně 21 dní před Velikonoce-mi,21 dní před Dnem dětí (1. 6.),21 dní před začátkem školního roku,21 dní před Mikulášem a 21 dní před Vánocemi",velikonoční trhytrhy ke Dni dětítrhy k začátku školního rokumikulášské trhy vánoční trhy
TRHY,Praha 18(Letňany),"Tupolevova, parc.č. 629/138, parc.č. 629/252, parc.č. 629/251, k.ú. Letňany",61 028 m2,so,příležitostně1.4.-31.10.,farmářské trhy
TRHY,Praha 20                           (Horní Počernice),"Na Chvalské tvrzi,              u Náchodské, před křižovatkou s Božanovskou, parc. č. 1984, 1987/1, 1990 a 1991, k.ú. Horní Počernice",1000 m2,8.00-18.00,celoročně,"farmářské trhyprodukty lidových uměleckých řemesel z proutí, šustí, dřeva, keramikyobčerstvení (stravovací služby)"
TRHY,Praha 22,Nové náměstí,201 000 m2,7.00-19.00,celoročně,"farmářské trhy produkty lidových uměleckých řemesel z proutí, šustí, dřevaobčerstvení (stravovací služby)"
TRHY,Praha - Běchovice,"Českobrodská  u č. 1, nádvoří objektu Staré pošty, parc.č. 56 k.ú. Běchovice",401600 m 2,8.00-22.00,příležitostně,prodej produktů lidových uměleckých řemesel farmářské trhyobčerstvení (stravovací služby)
TRHY,Praha - Čakovice,"nám. Jiřího Berana,k. ú. Čakovice",35 1 800 m2,7.00-24.00,celoročně,"farmářské trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.   velikonoční trhyvánoční trhytrhy se sortimentem chovatelské potřeby (v části plochy)"
TRHY,Praha - Ďáblice,"Hořínecká, část pozemku parc.č. 608/22, k.ú. Ďáblice",219 m2,6.00-19.00,celoročně,farmářské trhy
TRHY,Praha - Ďáblice,"Mannerova, část pozemku parc. č. 1747/1,k. ú. Ďáblice, hřiště",507 m2,6.00-19.00,celoročně,farmářské trhy
TRHY,Praha - Ďáblice,"nám. 25. března,         parc.č. 1548, k.ú. Čakovice",40   3473 m2,,příležitostně1 měsíc před Velikonoce-miod 1. první adventní neděle       do 24.12.,velikonoční trhy vánoční trhy
TRHY,Praha -Dolní Počernice,"Stará obec u č.p. 10, nádvoří objektu",10330 m2,13.00-18.00,příležitostně,"farmářské trhyobčerstvení (stravovací služby),nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.   velikonoční trhydušičkové trhyvánoční trhy"
TRHY,Praha -Dolní Počernice,"Stará obec u č. p.10, prostranství u č.p. 10 (ul. Stará obec a část ul. Bakurinova), parc. č. 1570/1, k. ú. Dolní Počernice",20960 m2,13.00-18.00,příležitostně,"farmářské trhyobčerstvení (stravovací služby),nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.velikonoční trhydušičkové trhyvánoční trhy"
TRHY,Praha-Klánovice,"V soudním před halou Starosty Hanzala, parc. č. 3/1 a 2,k. ú. Klánovice",700 m2,so8.00-12.00,celoročně,farmářské trhy
TRHY,Praha - Křeslice,"Štychova, parkoviště vedle úřadu MČ, parc.č. 4/4, parc. č. 6, k.ú. Křeslice",10307 m2,,příležitostně,"farmářské trhyvelikonoční trhyvánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRHY,Praha - Křeslice,"Štychova, část plochy v centru obce proti úřadu MČ, parc.č. 9/47, k.ú. Křeslice",10427 m2,,příležitostně,"farmářské trhyvelikonoční trhyvánoční trhyobčerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
